순번,상태정보,등록년월일,휴폐업일,관리사업유형,정비형태,전화번호,사업장상호,사업장주소
1,휴업,1979-03-02,2024-09-04,자동차정비업,자동차종합정비업,02-2672-1468,아우토슈타트(주),서울특별시 영등포구 영신로 224(영등포동8가)
2,영업,1979-01-23,,자동차정비업,자동차종합정비업,02-2679-1141,(주)문래자동차검사정비사업소,서울특별시 영등포구 문래로 31(문래동6가)
3,영업,1979-04-07,,자동차정비업,자동차종합정비업,02-2633-0771,롯데칠성음료신협양평분점,서울특별시 영등포구 양평로24길 33(양평동5가)
4,영업,1981-03-24,,자동차정비업,자동차종합정비업,02-2633-8888,당산현대서비즈 주식회사,서울특별시 영등포구 양평로23길 4(양평동5가)
5,영업,1988-08-17,,자동차정비업,자동차종합정비업,02-2670-2113,한국전력공사 서울정비공장,서울특별시 영등포구 문래로 95(문래동3가)
6,영업,1989-07-01,,자동차정비업,자동차종합정비업,02-2633-7751,영일보링공업사,서울특별시 영등포구 영중로 124(영등포동8가)
7,영업,2000-08-23,,자동차정비업,자동차종합정비업,02-2633-8611,(주)정일현대자동차공업사,서울특별시 영등포구 선유로 103(양평동1가)
8,영업,2000-12-22,,자동차정비업,자동차종합정비업,02-2633-5400,주식회사 르노코리아자동차지정정비센터영등포정비,서울특별시 영등포구 경인로90길 10(문래동1가)
9,영업,2002-11-07,,자동차정비업,자동차종합정비업,02-2670-0860,한국지엠(주)서울서비스센터,서울특별시 영등포구 선유로 234(양평동4가)
10,영업,2002-12-11,,자동차정비업,자동차종합정비업,02-6964-7266,아주오토리움 주식회사,서울특별시 영등포구 선유로 5(문래동5가)
11,영업,2003-04-16,,자동차정비업,자동차종합정비업,02-2676-4112,(주)대성카독크,서울특별시 영등포구 양평로19길 31(양평동4가)
12,영업,2004-06-15,,자동차정비업,자동차종합정비업,02-1588-8040,주식회사 천하자동차,"서울특별시 영등포구 영등포로5길 6, 504동(양평동2가)"
13,영업,2004-06-30,,자동차정비업,자동차종합정비업,02-2676-4441,오토바디모터스,서울특별시 영등포구 양평로21길 16(양평동5가)
14,영업,2006-06-19,,자동차정비업,자동차종합정비업,02-2679-1230,(주)영등포자동차정비검사소,서울특별시 영등포구 문래로 55(문래동6가)
15,영업,2006-12-19,,자동차정비업,자동차종합정비업,02-2678-9100,영등포서비스기아오토큐(주),서울특별시 영등포구 양평로28길 1(양평동6가)
16,영업,2010-07-20,,자동차정비업,자동차종합정비업,02-2675-3000,문래현대서비스(주),서울특별시 영등포구 경인로 780(문래동1가)
17,휴업,2005-11-17,2024-08-06,자동차정비업,소형자동차종합정비업,02-2636-4979,영산자동차 주식회사,서울특별시 영등포구 양산로 93(당산동3가)
18,영업,1992-07-28,,자동차정비업,소형자동차종합정비업,02-2634-2715,대성공업사,서울특별시 영등포구 경인로71길 60(문래동5가)
19,영업,1992-09-26,,자동차정비업,소형자동차종합정비업,02-2636-2686,주식회사 신엠제이모터스,서울특별시 영등포구 선유로 112(양평동1가)
20,영업,2003-09-25,,자동차정비업,소형자동차종합정비업,02-2672-9453,신우카독크,"서울특별시 영등포구 선유로43길 27(양평동3가, 청우오토프라자 124호,132호)"
21,영업,2004-06-28,,자동차정비업,소형자동차종합정비업,02-2678-0184,우리자동차공업사,서울특별시 영등포구 선유로 85-3(양평동1가)
22,영업,2004-08-12,,자동차정비업,소형자동차종합정비업,02-376-8624,삼영자동차공업사,"서울특별시 영등포구 영중로 126, 2층(영등포동8가)"
23,영업,2010-07-06,,자동차정비업,소형자동차종합정비업,02-2688-9777,"주식회사 메카니카(MECHANICAR CO., Ltd.)",서울특별시 영등포구 양평로21가길 9(양평동5가)
24,영업,2011-01-28,,자동차정비업,소형자동차종합정비업,02-854-8686,투투정비서비스,서울특별시 영등포구 영등포로3길 24-1(양평동2가)
25,영업,2020-02-10,,자동차정비업,소형자동차종합정비업,02-2675-4133,수정모터스,서울특별시 영등포구 경인로77길 9(문래동2가)
26,영업,2024-10-23,,자동차정비업,소형자동차종합정비업,02-3661-6461,(주)에이치앤티모터스,서울특별시 영등포구 선유로 155(양평동3가)
27,영업,2003-07-28,,자동차정비업,원동기전문정비업,02-2635-2562,대유디젤커먼레일,서울특별시 영등포구 양평로21나길 3(양평동5가)
28,영업,2013-01-14,,자동차정비업,원동기전문정비업,02-2636-1660,주식회사 디에스엔진,서울특별시 영등포구 영등포로3길 22(양평동2가)
29,영업,1997-06-30,,자동차정비업,자동차전문정비업,02-2676-8204,타이어테크영등포점,서울특별시 영등포구 영중로 105(영등포동8가)
30,영업,1997-06-30,,자동차정비업,자동차전문정비업,02-2679-5454,극동자동차공업사,서울특별시 영등포구 영중로 107(영등포동8가)
31,영업,1997-06-30,,자동차정비업,자동차전문정비업,02-843-7907,영미자동차공업사,서울특별시 영등포구 가마산로 588(신길동)
32,영업,1997-07-11,,자동차정비업,자동차전문정비업,02-2633-2549,성실자동차공업사,서울특별시 영등포구 경인로77길 56-1(문래동4가)
33,영업,1997-07-18,,자동차정비업,자동차전문정비업,02-832-7465,대성자동차공업사,서울특별시 영등포구 가마산로46길 6(대림동)
34,영업,1997-08-29,,자동차정비업,자동차전문정비업,02-2676-8833,태성자동차공업사,"서울특별시 영등포구 영등포로13길 4, 1층(양평동1가)"
35,영업,1997-08-29,,자동차정비업,자동차전문정비업,02-849-8002,현대자동차도림점,서울특별시 영등포구 도신로 115(도림동)
36,영업,1997-08-29,,자동차정비업,자동차전문정비업,02-2676-7399,덕윤자동차공업사,서울특별시 영등포구 국회대로 580(당산동3가)
37,영업,1997-11-07,,자동차정비업,자동차전문정비업,02-832-4411,애니카랜드 신길점,서울특별시 영등포구 신길로 70(신길동)
38,영업,1997-12-12,,자동차정비업,자동차전문정비업,02-849-6800,대성자동차공업사,서울특별시 영등포구 디지털로 421(대림동)
39,영업,1997-12-12,,자동차정비업,자동차전문정비업,02-2632-1193,선진자동차공업사,서울특별시 영등포구 당산로49길 5(당산동6가)
40,영업,1997-12-30,,자동차정비업,자동차전문정비업,02-849-8585,굿센모터스,"서울특별시 영등포구 도림로 459, 1층(문래동4가)"
41,영업,1997-12-30,,자동차정비업,자동차전문정비업,02-2676-2600,(주)타이어나라 영등포지점,서울특별시 영등포구 도림로141가길 41(문래동4가)
42,영업,1998-01-23,,자동차정비업,자동차전문정비업,,주식회사 와이엠,"서울특별시 영등포구 선유로 54-3(문래동3가, 101호, 102호)"
43,영업,1998-02-07,,자동차정비업,자동차전문정비업,02-848-8943,마스타자동차공업사,서울특별시 영등포구 가마산로 331-2(대림동)
44,영업,1998-04-01,,자동차정비업,자동차전문정비업,02-2676-4114,르노코리아 서비스코너 당산점,서울특별시 영등포구 선유동2로 67(양평동4가)
45,영업,1998-04-03,,자동차정비업,자동차전문정비업,02-834-8572,우성자동차공업사,서울특별시 영등포구 도신로 248(신길동)
46,영업,1998-04-16,,자동차정비업,자동차전문정비업,02-846-5298,대림자동차공업사,서울특별시 영등포구 대림로 188(대림동)
47,영업,1998-04-16,,자동차정비업,자동차전문정비업,02-2676-9690,한도카서비스,서울특별시 영등포구 양평로28사길 13(양평동6가)
48,영업,1998-04-28,,자동차정비업,자동차전문정비업,02-2675-1900,양평서부점현대자동차,서울특별시 영등포구 선유로 164(양평동3가)
49,영업,1998-06-11,,자동차정비업,자동차전문정비업,02-849-5519,21세기자동차공업사,서울특별시 영등포구 양평로22길 23(양평동5가)
50,영업,1998-06-11,,자동차정비업,자동차전문정비업,02-2633-1423,월드자동차공업사,서울특별시 영등포구 선유로33길 2(양평동3가)
51,영업,1998-07-06,,자동차정비업,자동차전문정비업,02-2634-6363,건영자동차공업사,서울특별시 영등포구 영등포로19길 7-2(당산동2가)
52,영업,1998-07-06,,자동차정비업,자동차전문정비업,02-844-8550,이삭자동차공업사,서울특별시 영등포구 가마산로 318(대림동)
53,영업,1998-07-13,,자동차정비업,자동차전문정비업,02-849-5246,한빛자동차공업사,서울특별시 영등포구 여의대방로47길 26(신길동)
54,영업,1998-08-19,,자동차정비업,자동차전문정비업,02-2677-6730,정우카서비스,서울특별시 영등포구 국회대로 627-1(영등포동8가)
55,영업,1998-08-31,,자동차정비업,자동차전문정비업,02-2677-1900,주식회사 티스테이션영등포점,서울특별시 영등포구 국회대로 655(영등포동8가)
56,영업,1998-08-31,,자동차정비업,자동차전문정비업,02-2676-8771,태진모터스,서울특별시 영등포구 양평로 131-1(양평동5가)
57,영업,1998-09-01,,자동차정비업,자동차전문정비업,02-845-5131,형제자동차공업사,서울특별시 영등포구 대림로 241(대림동)
58,영업,1998-09-01,,자동차정비업,자동차전문정비업,02-847-0914,옥당자동차,서울특별시 영등포구 도림로108가길 11-3(도림동)
59,영업,1998-09-01,,자동차정비업,자동차전문정비업,02-833-6170,신창자동차공업사,서울특별시 영등포구 신길로 172(신길동)
60,영업,1998-09-01,,자동차정비업,자동차전문정비업,02-847-7833,남서울모터스,서울특별시 영등포구 가마산로 375(대림동)
61,영업,1998-09-16,,자동차정비업,자동차전문정비업,02-2675-4829,영신자동차공업사,서울특별시 영등포구 선유로 176(양평동3가)
62,영업,1998-09-16,,자동차정비업,자동차전문정비업,02-2671-5180,대산자동차종합정비,서울특별시 영등포구 영등포로18길 8(양평동1가)
63,영업,1998-09-22,,자동차정비업,자동차전문정비업,02-2635-1959,대원자동차,서울특별시 영등포구 영신로 214-1(영등포동8가)
64,영업,1998-09-22,,자동차정비업,자동차전문정비업,02-842-8354,주식회사 신길유통,서울특별시 영등포구 도신로53길 1(신길동)
65,영업,1998-09-22,,자동차정비업,자동차전문정비업,02-835-1150,보라자동차정비공업사,서울특별시 영등포구 영등포로 399(신길동)
66,영업,1998-10-16,,자동차정비업,자동차전문정비업,02-2676-8663,두꺼비정비공업사,서울특별시 영등포구 국회대로 591(당산동4가)
67,영업,1998-10-16,,자동차정비업,자동차전문정비업,02-849-0262,좋은차만들기,서울특별시 영등포구 대방천로 243(신길동)
68,영업,1998-11-06,,자동차정비업,자동차전문정비업,02-834-3236,서울자동차공업사,서울특별시 영등포구 신풍로25길 14(신길동)
69,영업,1998-11-06,,자동차정비업,자동차전문정비업,02-2632-1202,신일카공업사,서울특별시 영등포구 영중로41길 12(영등포동8가)
70,영업,1998-11-16,,자동차정비업,자동차전문정비업,02-834-0386,대진자동차정비공업사,서울특별시 영등포구 디지털로 365(대림동)
71,영업,1998-11-16,,자동차정비업,자동차전문정비업,02-843-6373,명문자동차공업사,서울특별시 영등포구 디지털로 463(대림동)
72,영업,1998-11-23,,자동차정비업,자동차전문정비업,02-847-4415,태평양카공업사,서울특별시 영등포구 도신로 135-2(도림동)
73,영업,1998-11-23,,자동차정비업,자동차전문정비업,02-831-5054,매직카공업사,서울특별시 영등포구 영신로 5(도림동)
74,영업,1998-11-25,,자동차정비업,자동차전문정비업,02-2636-6960,킹자동차공업사,서울특별시 영등포구 영중로 155-8(영등포동8가)
75,영업,1998-11-27,,자동차정비업,자동차전문정비업,02-2677-3047,영남토탈카공업사,서울특별시 영등포구 선유서로 103(양평동2가)
76,영업,1998-11-27,,자동차정비업,자동차전문정비업,02-2675-1885,세양자동차공업사,서울특별시 영등포구 선유로 22(문래동4가)
77,영업,1998-11-27,,자동차정비업,자동차전문정비업,02-2675-5054,영일사자동차공업사,서울특별시 영등포구 문래북로 35-1(양평동1가)
78,영업,1998-12-21,,자동차정비업,자동차전문정비업,02-2635-1075,영일카정비공업사,서울특별시 영등포구 국회대로44길 3(영등포동7가)
79,영업,1998-12-21,,자동차정비업,자동차전문정비업,02-2634-6083,새한자동차공업사,서울특별시 영등포구 영등포로3길 20(양평동2가)
80,영업,1998-12-21,,자동차정비업,자동차전문정비업,02-2068-9930,만물자동차공업사,서울특별시 영등포구 영등포로 164(당산동1가)
81,영업,1998-12-28,,자동차정비업,자동차전문정비업,02-2675-6706,현대종합카공업사,서울특별시 영등포구 선유로47길 8(양평동4가)
82,영업,1999-01-19,,자동차정비업,자동차전문정비업,02-783-8029,한성자동차공업사,서울특별시 영등포구 여의대방로 383(여의도동)
83,영업,1999-02-12,,자동차정비업,자동차전문정비업,02-2638-0079,타이어프로문래점,서울특별시 영등포구 버드나루로 98(당산동)
84,영업,1999-02-25,,자동차정비업,자동차전문정비업,02-842-2715,현대자동차신길남부점,서울특별시 영등포구 신길로 65-1(신길동)
85,영업,1999-03-05,,자동차정비업,자동차전문정비업,02-835-0909,남양자동차공업사,서울특별시 영등포구 디지털로 381(대림동)
86,영업,1999-03-15,,자동차정비업,자동차전문정비업,02-2633-2993,형제카센타,서울특별시 영등포구 선유동2로 15(양평동3가)
87,영업,1999-04-01,,자동차정비업,자동차전문정비업,02-2635-4482,현대자동차공업사,서울특별시 영등포구 선유동2로 7(양평동3가)
88,영업,1999-05-13,,자동차정비업,자동차전문정비업,02-834-8255,금성자동차공업사,서울특별시 영등포구 도신로 109(도림동)
89,영업,1999-06-11,,자동차정비업,자동차전문정비업,02-834-4238,씨에스자동차공업사,서울특별시 영등포구 도림로 332(도림동)
90,영업,1999-08-10,,자동차정비업,자동차전문정비업,02-2677-8930,길민자동차공업사,서울특별시 영등포구 양산로 133(당산동3가)
91,영업,1999-11-10,,자동차정비업,자동차전문정비업,02-849-4337,현대오토공업사,서울특별시 영등포구 도신로 139(도림동)
92,영업,1999-11-19,,자동차정비업,자동차전문정비업,02-2675-3893,우현자동차공업사,서울특별시 영등포구 문래로 37(문래동6가)
93,영업,1999-11-19,,자동차정비업,자동차전문정비업,02-2633-1453,쌍둥이카정비공업사,서울특별시 영등포구 양평로28길 34(양평동5가)
94,영업,1999-11-26,,자동차정비업,자동차전문정비업,02-834-9428,제일카샵,서울특별시 영등포구 도신로62길 21(신길동)
95,영업,1999-12-20,,자동차정비업,자동차전문정비업,02-2635-8178,만도자동차정비공업사,서울특별시 영등포구 영등포로18길 8-1(양평동1가)
96,영업,1999-12-20,,자동차정비업,자동차전문정비업,02-834-4507,아우토반자동차공업사,"서울특별시 영등포구 선유로 26, 1층(문래동4가)"
97,영업,1999-12-20,,자동차정비업,자동차전문정비업,02-847-8462,믿음정비공업사,서울특별시 영등포구 도신로 126(신길동)
98,영업,1999-12-22,,자동차정비업,자동차전문정비업,02-2632-1725,굿모닝모터스,"서울특별시 영등포구 양평로21다길 2, 602동(양평동5가)"
99,영업,1999-12-23,,자동차정비업,자동차전문정비업,02-844-8255,쌍용정비성우자동차,서울특별시 영등포구 도신로15가길 14(도림동)
100,영업,2000-02-01,,자동차정비업,자동차전문정비업,02-2676-9339,목화자동차공업사,서울특별시 영등포구 선유동1로 17(양평동1가)
101,영업,2000-02-14,,자동차정비업,자동차전문정비업,02-2635-8216,현대오토,서울특별시 영등포구 선유로 176(양평동3가)
102,영업,2000-02-14,,자동차정비업,자동차전문정비업,02-831-4620,현석자동차공업사,서울특별시 영등포구 대방천로 194(신길동)
103,영업,2000-03-14,,자동차정비업,자동차전문정비업,02-2672-1641,영남카독크공업사,서울특별시 영등포구 영신로33길 2(당산동1가)
104,영업,2000-06-03,,자동차정비업,자동차전문정비업,02-848-2914,독일자동차공업사,"서울특별시 영등포구 디지털로 427, 1층(대림동)"
105,영업,2000-06-09,,자동차정비업,자동차전문정비업,02-2676-7425,남성자동차공업사,서울특별시 영등포구 도림로141길 6(문래동4가)
106,영업,2000-06-23,,자동차정비업,자동차전문정비업,02-846-1285,성락자동차공업사,서울특별시 영등포구 가마산로 399(신길동)
107,영업,2000-07-11,,자동차정비업,자동차전문정비업,02-2678-2833,미케닉케이,서울특별시 영등포구 양산로 121-1(당산동3가)
108,영업,2000-08-11,,자동차정비업,자동차전문정비업,02-2634-0901,백재카,"서울특별시 영등포구 양평로24길 9, 110동 1호(양평동5가, 한신아파트 한신상가)"
109,영업,2000-09-28,,자동차정비업,자동차전문정비업,02-2068-4879,오토오아시스 문래점,서울특별시 영등포구 문래북로 49-1(양평동1가)
110,영업,2000-12-20,,자동차정비업,자동차전문정비업,02-2679-8251,윤일섭자동차서비스,서울특별시 영등포구 양산로 96(당산동2가)
111,영업,2001-01-17,,자동차정비업,자동차전문정비업,02-821-3435,무지개자동차공업사,서울특별시 영등포구 대방천로 229(신길동)
112,영업,2001-03-09,,자동차정비업,자동차전문정비업,02-834-6700,신진오토,서울특별시 영등포구 도림로 314-1(신길동)
113,영업,2001-05-26,,자동차정비업,자동차전문정비업,02-847-5008,대림점기아오토큐,서울특별시 영등포구 대림로 229(대림동)
114,영업,2001-10-30,,자동차정비업,자동차전문정비업,02-835-8779,오토오아시스 신길점,서울특별시 영등포구 도신로 185(신길동)
115,영업,2002-01-11,,자동차정비업,자동차전문정비업,02-2068-0655,케이카 주식회사 영등포정비,"서울특별시 영등포구 선유로43길 27, 125호(양평동3가, 청우오토프라자, 125~129호)"
116,영업,2002-01-15,,자동차정비업,자동차전문정비업,02-832-1757,남서울자동차공업사,서울특별시 영등포구 신풍로 58(신길동)
117,영업,2002-03-23,,자동차정비업,자동차전문정비업,02-848-4293,대림월드자동차공업사,서울특별시 영등포구 대림로27길 10(대림동)
118,영업,2002-05-01,,자동차정비업,자동차전문정비업,02-834-2356,우리카서비스,서울특별시 영등포구 대방천로 217-1(신길동)
119,영업,2002-05-23,,자동차정비업,자동차전문정비업,02-833-4730,소하자동차공업사,서울특별시 영등포구 대방천로 232-1(신길동)
120,영업,2002-06-21,,자동차정비업,자동차전문정비업,02-843-3333,한보자동차공업사,서울특별시 영등포구 도림로 200(대림동)
121,영업,2002-06-29,,자동차정비업,자동차전문정비업,02-2637-5857,오토오아시스 빅마켓 영등포점,"서울특별시 영등포구 영중로 125(영등포동8가, 빅마켓3층)"
122,영업,2002-06-29,,자동차정비업,자동차전문정비업,02-2634-8256,명인자동차공업사,서울특별시 영등포구 선유동2로 69(양평동4가)
123,영업,2002-08-19,,자동차정비업,자동차전문정비업,02-843-5304,동경카센타,서울특별시 영등포구 신길로 200-17(신길동)
124,영업,2003-01-21,,자동차정비업,자동차전문정비업,02-2678-6354,동아자동차공업사,서울특별시 영등포구 당산로41길 18(당산동5가)
125,영업,2003-09-08,,자동차정비업,자동차전문정비업,02-2677-8204,현대자동차영등포점,서울특별시 영등포구 국회대로 663-1(영등포동7가)
126,영업,2003-10-02,,자동차정비업,자동차전문정비업,,스피드메이트 윈윈점,서울특별시 영등포구 가마산로 379(대림동)
127,영업,2003-10-27,,자동차정비업,자동차전문정비업,02-841-3341,르노코리아 서비스코너 도림점,서울특별시 영등포구 도신로 55(도림동)
128,영업,2003-12-29,,자동차정비업,자동차전문정비업,02-847-4501,한라자동차공업사,서울특별시 영등포구 도신로15가길 4-1(도림동)
129,영업,2004-04-02,,자동차정비업,자동차전문정비업,02-6012-0555,(주)평우서비스 영등포지점,서울특별시 영등포구 대림로 204(대림동)
130,영업,2004-05-06,,자동차정비업,자동차전문정비업,02-2676-1702,한일오토,서울특별시 영등포구 문래북로 50(문래동3가)
131,영업,2004-05-24,,자동차정비업,자동차전문정비업,02-844-5404,요요카공업사,서울특별시 영등포구 도영로 63(도림동)
132,영업,2004-06-18,,자동차정비업,자동차전문정비업,02-2675-1211,마이카자동차공업사,서울특별시 영등포구 영등포로5길 49(양평동2가)
133,영업,2004-06-28,,자동차정비업,자동차전문정비업,02-832-1133,티스테이션보라매점,서울특별시 영등포구 신풍로 104(신길동)
134,영업,2005-06-22,,자동차정비업,자동차전문정비업,02-847-9061,태양자동차공업사,서울특별시 영등포구 도림로 343(도림동)
135,영업,2006-04-05,,자동차정비업,자동차전문정비업,02-785-9662,모터랩스 여의도점(아우토클리닉),"서울특별시 영등포구 의사당대로1길 11, 110-111호(여의도동, 대우메종오피스텔)"
136,영업,2006-06-07,,자동차정비업,자동차전문정비업,02-846-7118,성심자동차공업사,서울특별시 영등포구 신길로39길 33(신길동)
137,영업,2006-06-23,,자동차정비업,자동차전문정비업,02-2675-5911,응원카센타,서울특별시 영등포구 영중로 155(영등포동8가)
138,영업,2007-05-10,,자동차정비업,자동차전문정비업,02-841-5582,신길남부점기아오토큐,서울특별시 영등포구 도림로 230(신길동)
139,영업,2007-06-29,,자동차정비업,자동차전문정비업,02-848-7579,에프엠카서비스,서울특별시 영등포구 가마산로 328(대림동)
140,영업,2007-07-03,,자동차정비업,자동차전문정비업,02-2631-6764,도이치란트하우스 주식회사,서울특별시 영등포구 양평로28아길 6(양평동6가)
141,영업,2007-08-03,,자동차정비업,자동차전문정비업,02-2676-0727,대성자동차공업사,서울특별시 영등포구 도림로 481(문래동4가)
142,영업,2008-07-31,,자동차정비업,자동차전문정비업,02-848-6416,월드카공업사,서울특별시 영등포구 도신로52길 2(신길동)
143,영업,2008-07-31,,자동차정비업,자동차전문정비업,02-831-0944,대림점현대자동차,서울특별시 영등포구 가마산로 374(대림동)
144,영업,2010-07-20,,자동차정비업,자동차전문정비업,02-3661-2425,영풍카써비스,서울특별시 영등포구 도영로 51(도림동)
145,영업,2011-01-04,,자동차정비업,자동차전문정비업,02-332-9788,애니카랜드영등포점,서울특별시 영등포구 선유동1로 9(양평동1가)
146,영업,2011-01-10,,자동차정비업,자동차전문정비업,02-845-0951,부흥자동차공업사,서울특별시 영등포구 신길로41길 21(신길동)
147,영업,2011-06-24,,자동차정비업,자동차전문정비업,02-2635-9701,성민자동차공업사,"서울특별시 영등포구 양산로 84(당산동2가, 84-1포함)"
148,영업,2011-08-08,,자동차정비업,자동차전문정비업,02-832-8272,강서오토피아,서울특별시 영등포구 도림로 342(도림동)
149,영업,2013-05-21,,자동차정비업,자동차전문정비업,02-2677-7776,삼양사,서울특별시 영등포구 국회대로 595(당산동4가)
150,영업,2013-05-31,,자동차정비업,자동차전문정비업,02-3667-2525,그린현대서비스,서울특별시 영등포구 양산로 161(당산동3가)
151,영업,2013-09-02,,자동차정비업,자동차전문정비업,02-831-7883,대길모터스,서울특별시 영등포구 도영로 36(도림동)
152,영업,2014-08-11,,자동차정비업,자동차전문정비업,,스카이정비,"서울특별시 영등포구 선유로43길 27, 103호(양평동3가, 청우오토프라자)"
153,영업,2014-12-23,,자동차정비업,자동차전문정비업,02-834-7613,스마트모터스,서울특별시 영등포구 디지털로69길 1(대림동)
154,영업,2017-05-24,,자동차정비업,자동차전문정비업,02-2634-8802,오토오아시스 롯데마트 양평점,"서울특별시 영등포구 선유로 138, 3층(양평동3가)"
155,영업,2017-12-12,,자동차정비업,자동차전문정비업,02-588-9811,넥센타이어 양평동직영점,"서울특별시 영등포구 선유로 255, 1동 1층(양평동4가)"
156,영업,2017-12-12,,자동차정비업,자동차전문정비업,02-831-8203,현대카서비스센터,서울특별시 영등포구 도신로 133(도림동)
157,영업,2018-04-12,,자동차정비업,자동차전문정비업,02-6487-0482,JK모터스,서울특별시 영등포구 대방천로 203(신길동)
158,영업,2019-01-24,,자동차정비업,자동차전문정비업,02-2632-6464,영남제일자동차공업사,서울특별시 영등포구 영등포로34길 9(영등포동4가)
159,영업,2019-05-02,,자동차정비업,자동차전문정비업,,우신자동차공업사,서울특별시 영등포구 신길동 238번지 37호
160,영업,2019-05-24,,자동차정비업,자동차전문정비업,02-2165-8061,오토오아시스 홈플러스 영등포점,"서울특별시 영등포구 당산로 42, 3층(문래동3가)"
161,영업,2019-10-08,,자동차정비업,자동차전문정비업,02-2069-2350,㈜그린통상,서울특별시 영등포구 양평로21나길 8(양평동5가)
162,영업,2020-08-14,,자동차정비업,자동차전문정비업,02-490-9447,지에스엠비즈 주식회사,서울특별시 영등포구 선유로43길 19(양평동3가)
163,영업,2020-08-28,,자동차정비업,자동차전문정비업,,대호카센타,서울특별시 영등포구 양산로 90(당산동2가)
164,영업,2020-10-30,,자동차정비업,자동차전문정비업,02-865-1400,케이씨씨오토(주) 영등포 서비스센터,서울특별시 영등포구 당산로 42(문래동3가)
165,영업,2021-03-17,,자동차정비업,자동차전문정비업,02-845-8881,현대카써비스,서울특별시 영등포구 대림로44길 23-2(대림동)
166,영업,2021-06-14,,자동차정비업,자동차전문정비업,02-6956-7401,롯데마트 VIC마켓 영등포 서비스센터,서울특별시 영등포구 영중로 125(영등포동8가)
167,영업,2022-02-25,,자동차정비업,자동차전문정비업,,주식회사 한국오토,서울특별시 영등포구 문래북로 35-1(양평동1가)
168,영업,2023-02-10,,자동차정비업,자동차전문정비업,,만보모터스,서울특별시 영등포구 양산로 157(당산동3가)
169,영업,2023-03-31,,자동차정비업,자동차전문정비업,,티스테이션 문래점,서울특별시 영등포구 선유로 20(문래동4가)
170,영업,2023-06-09,,자동차정비업,자동차전문정비업,,후카서비스,"서울특별시 영등포구 선유동1로 42, 가동 103호(당산동3가)"
171,영업,2024-12-27,,자동차정비업,자동차전문정비업,,하모니오토모빌(유) 영등포서비스지점,서울특별시 영등포구 양평로30길 30(양평동6가)
172,영업,2025-05-02,,자동차정비업,자동차전문정비업,,영등포 이륜차 검사소,서울특별시 영등포구 선유동2로 13(양평동3가)
